index,score0,score1,spikes,cycles,detected
0,-5578,8658,48,5979498,1
1,-2159,4186,55,5980198,1
2,2009,-35,43,5978998,0
3,-2555,1493,61,5980798,1
4,2416,1383,49,5979598,0
5,-4301,3471,50,5979698,1
6,-5915,3942,68,5981498,1
7,599,-553,29,5977598,0
8,-5206,4060,38,5978498,1
9,-4166,2955,40,5978698,1
10,-5049,8302,49,5979598,1
11,-1793,5401,47,5979398,1
12,-74,-4903,58,5980498,0
13,1907,245,31,5977776,0
14,4793,-1480,57,5980310,0
15,7428,-6032,45,5979000,0
16,7594,-5852,41,5978732,0
17,7569,-6234,47,5979310,0
18,8432,-5693,42,5978744,0
19,12691,-8231,65,5981066,0
20,6883,-3235,47,5979398,0
21,11849,-8540,56,5980188,0
22,4340,-10285,47,5979398,0
23,9602,-9129,54,5980032,0
24,-6988,6662,55,5980198,1
25,-2778,1538,40,5978698,1
26,-3023,1884,54,5980098,1
27,897,2546,54,5980098,0
28,-1781,1162,22,5976876,1
29,-737,118,17,5976398,0
30,98,1184,56,5980298,0
31,-1363,1285,57,5980398,0
32,-5578,8658,48,5979498,1
33,-2159,4186,55,5980198,1
34,3444,-2808,8,5975498,0
35,4,-334,6,5975298,0
36,2832,-1433,18,5976498,0
37,2816,-1877,11,5975776,0
38,-995,1399,14,5976098,0
39,-1222,1886,10,5975698,1
