index,score0,score1,spikes,cycles,detected
0,-5578,8658,48,265370,1
1,-2159,4186,55,266070,1
2,2009,-35,43,264870,0
3,-2555,1493,61,266670,1
4,2416,1383,49,265470,0
5,-4301,3471,50,265570,1
6,-5915,3942,68,267370,1
7,599,-553,29,263470,0
8,-5206,4060,38,264370,1
9,-4166,2955,40,264570,1
10,-5049,8302,49,265470,1
11,-1793,5401,47,265270,1
12,-74,-4903,58,266370,0
13,1907,245,31,263648,0
14,4793,-1480,57,266182,0
15,7428,-6032,45,264872,0
16,7594,-5852,41,264604,0
17,7569,-6234,47,265182,0
18,8432,-5693,42,264616,0
19,12691,-8231,65,266938,0
20,6883,-3235,47,265270,0
21,11849,-8540,56,266060,0
22,4340,-10285,47,265270,0
23,9602,-9129,54,265904,0
24,-6988,6662,55,266070,1
25,-2778,1538,40,264570,1
26,-3023,1884,54,265970,1
27,897,2546,54,265970,0
28,-1781,1162,22,262748,1
29,-737,118,17,262270,0
30,98,1184,56,266170,0
31,-1363,1285,57,266270,0
32,-5578,8658,48,265370,1
33,-2159,4186,55,266070,1
34,3444,-2808,8,261370,0
35,4,-334,6,261170,0
36,2832,-1433,18,262370,0
37,2816,-1877,11,261648,0
38,-995,1399,14,261970,0
39,-1222,1886,10,261570,1
