index,score0,score1,spikes,cycles,detected
0,-5774,8185,48,58273798,1
1,-1368,1164,56,58017418,1
2,4506,-2445,51,57664258,0
3,-4227,3624,56,58713498,1
4,874,-456,48,58684978,0
5,-6325,4868,54,58931978,1
6,-8142,5364,75,58775458,1
7,161,-504,31,57896338,0
8,-3276,1322,44,59092678,1
9,-5122,3251,43,58159338,1
10,-4712,4685,47,58292178,1
11,-2651,2309,48,58241458,1
12,3324,-5745,83,58679238,0
13,2692,-1690,42,58527210,0
14,6002,-6699,71,58433156,0
15,11419,-7318,60,58644444,0
16,7435,-5642,42,58704332,0
17,6348,-4838,49,58899028,0
18,8767,-6721,56,58893546,0
19,7447,-7090,47,58808056,0
20,7945,-7519,69,58522298,0
21,8863,-8920,45,58700078,0
22,9784,-12431,67,58842418,0
23,8937,-9976,50,58606638,0
24,-977,1112,48,60403618,1
25,-679,1358,42,60812658,0
26,-511,1511,73,58827618,0
27,-263,1739,52,58063218,0
28,-379,1612,47,57817858,0
29,-1387,594,28,57712778,0
30,-738,1450,51,59860298,1
31,-812,1377,68,60650478,1
32,-5774,8185,48,58273798,1
33,-1368,1164,56,58017418,1
34,2782,-2614,6,57359458,0
35,-396,-520,8,71552298,0
36,796,-1768,7,63850658,0
37,3248,-2768,16,63896218,0
38,101,-796,4,63660938,0
39,-2048,1286,15,63988518,1
